benchmark,input_size,cpp_mean_ms,cpp_std_ms,cpp_ci_low,cpp_ci_high,rust_mean_ms,rust_std_ms,rust_ci_low,rust_ci_high,overhead_pct,t_statistic,p_value,cohens_d,cpp_cv_pct,rust_cv_pct,high_variance
binary_search,1000000,7.1952,0.0319,7.1444,7.246,2.282,0.003,2.2798,2.2842,-68.28,307.1704,0.0,-216.616,0.44,0.13,False
cuda_matmul_tiled,1024,0.0018,0.0009,0.0007,0.0029,0.0002,0.0001,0.0002,0.0003,-86.52,3.9371,0.016746,-2.49,49.04,22.82,True
cuda_reduction,1000000,0.0633,0.0162,0.0432,0.0834,0.0002,0.0001,0.0002,0.0003,-99.62,8.7146,0.000955,-5.5116,25.56,22.82,True
cuda_softmax,64x16384,0.0012,0.0012,-0.0002,0.0027,0.0017,0.0033,-0.0024,0.0057,37.7,-0.2974,0.778086,0.1881,96.18,193.68,True
fft_forward,65536,0.9282,0.0006,0.9271,0.9292,1.2153,0.0006,1.2149,1.2158,30.94,-758.644,0.0,452.0463,0.07,0.05,False
fft_roundtrip,65536,1.9281,0.0009,1.9266,1.9295,2.3987,0.0042,2.3957,2.4017,24.41,-336.5065,0.0,155.2667,0.05,0.17,False
hashmap_int_insert,100000,3.7796,0.0039,3.7733,3.7858,1.0832,0.002,1.0817,1.0846,-71.34,1307.7185,0.0,-864.2321,0.1,0.19,False
hashmap_int_lookup,100000,1.2037,0.0027,1.1994,1.208,0.9651,0.0019,0.9638,0.9664,-19.82,161.7239,0.0,-102.5705,0.22,0.19,False
hashmap_string_insert,100000,8.388,0.0738,8.2706,8.5054,6.1591,0.024,6.142,6.1763,-26.57,59.1803,5e-06,-40.6297,0.88,0.39,False
lower_bound,1000000,7.2647,0.0081,7.2517,7.2777,2.1023,0.0065,2.0977,2.107,-71.06,1131.1182,0.0,-700.0234,0.11,0.31,False
matmul_naive,512,14.2277,0.0606,14.0772,14.3782,18.5656,0.0233,18.5489,18.5823,30.49,-121.3275,3.2e-05,94.4906,0.43,0.13,False
mergesort_recursive,1000000,63.2983,0.1073,63.1276,63.469,53.5474,0.2931,53.3378,53.7571,-15.4,91.0615,0.0,-44.1846,0.17,0.55,False
nbody_5_timesteps,1024,10.035,0.004,10.0251,10.0449,10.0613,0.0328,10.0378,10.0848,0.26,-2.4712,0.033479,1.1238,0.04,0.33,False
nbody_single_step,1024,2.0108,0.0034,2.0023,2.0193,2.0222,0.0047,2.0188,2.0256,0.57,-4.6066,0.007143,2.7677,0.17,0.23,False
parallel_reduction_rayon,1000000,0.0332,0.0011,0.0315,0.0349,0.097,0.0118,0.0886,0.1054,192.23,-16.982,0.0,7.6424,3.26,12.12,True
parallel_reduction_sequential,1000000,0.3865,0.0001,0.3864,0.3867,0.3793,0.0004,0.3791,0.3796,-1.87,60.2857,0.0,-28.0241,0.02,0.09,False
quicksort_manual,1000000,54.4687,0.1304,54.2612,54.6761,44.8361,0.0425,44.8057,44.8665,-17.68,144.7254,0.0,-99.348,0.24,0.09,False
quicksort_std_sort,1000000,49.7041,0.0447,49.633,49.7752,9.6229,0.0155,9.6118,9.634,-80.64,1752.9372,0.0,-1198.7918,0.09,0.16,False
